주문번호,사용자아이디,성별,연령대,지역,product,quantity,price,total_amount,order_date
ORD000127,user0023,남,30대,경기,키보드,9,377606,3398454,2025-09-17
ORD000128,user0262,남,20대,부산,스마트폰,8,60340,482720,2025-10-20
ORD000129,user0422,여,10대,광주,CPU,6,435707,2614242,2025-05-25
ORD000130,user0168,여,30대,광주,CPU,3,13947,41841,2025-11-30
ORD000131,user0483,여,50대,서울,마우스,6,247774,1486644,2025-07-08
ORD000132,user0477,남,50대,서울,키보드,1,153501,153501,2025-11-08
ORD000133,user0161,여,20대,광주,그래픽카드,4,424642,1698568,2025-10-26
ORD000134,user0372,남,40대,경기,키보드,1,345488,345488,2025-04-25
ORD000135,user0295,여,50대,경기,그래픽카드,10,264976,2649760,2025-09-28
ORD000136,user0242,여,30대,대전,모니터,1,319296,319296,2025-10-22
ORD000137,user0125,여,20대,대구,모니터,5,478662,2393310,2025-08-22
ORD000138,user0498,남,60대,부산,충전기,6,393266,2359596,2025-07-29
ORD000139,user0181,남,30대,기타,웹캠,6,42780,256680,2025-04-28
ORD000140,user0215,남,50대,인천,CPU,8,413249,3305992,2025-10-03
ORD000141,user0466,여,60대,인천,웹캠,4,408082,1632328,2025-05-14
ORD000142,user0161,남,10대,광주,태블릿,5,180081,900405,2025-09-16
ORD000143,user0254,남,20대,기타,노트북,3,302996,908988,2025-03-27
ORD000144,user0135,여,60대,경기,마우스,2,220480,440960,2025-01-18
ORD000145,user0354,남,10대,인천,USB,7,13546,94822,2025-09-29
ORD000146,user0217,여,20대,광주,프린터,7,475092,3325644,2025-10-13
ORD000147,user0151,남,30대,대구,웹캠,4,374284,1497136,2025-11-08
ORD000148,user0370,남,10대,대구,충전기,10,57503,575030,2025-07-29
ORD000149,user0428,여,30대,기타,프린터,8,389338,3114704,2025-03-10
ORD000150,user0393,남,20대,서울,웹캠,3,380431,1141293,2025-10-31
ORD000151,user0333,여,40대,대구,충전기,6,354321,2125926,2025-04-01
ORD000152,user0302,여,70대,경기,모니터,9,379815,3418335,2025-06-02
ORD000153,user0025,여,30대,대구,태블릿,8,179843,1438744,2025-06-13
ORD000154,user0022,남,40대,대전,웹캠,3,76076,228228,2025-11-12
ORD000155,user0178,여,20대,경기,이어폰,6,53149,318894,2025-05-21
ORD000156,user0115,남,30대,대전,웹캠,8,231118,1848944,2025-02-24
ORD000157,user0143,남,10대,부산,USB,4,350403,1401612,2025-09-18
ORD000158,user0307,남,50대,부산,노트북,3,15339,46017,2025-09-08
ORD000159,user0105,여,50대,광주,프린터,1,194745,194745,2025-08-16
ORD000160,user0426,여,30대,경기,프린터,9,67153,604377,2025-12-28
ORD000161,user0456,여,40대,대전,키보드,2,233996,467992,2025-03-12
ORD000162,user0343,남,30대,경기,프린터,5,384586,1922930,2025-04-24
ORD000163,user0081,여,30대,기타,스피커,2,172502,345004,2025-09-20
ORD000164,user0353,여,10대,광주,키보드,2,371571,743142,2025-12-28
ORD000165,user0098,남,60대,서울,모니터,9,167475,1507275,2025-03-12
ORD000166,user0447,남,60대,부산,이어폰,10,198241,1982410,2025-08-29
ORD000167,user0417,남,60대,기타,이어폰,3,255021,765063,2025-03-09
ORD000168,user0449,남,50대,부산,노트북,4,333803,1335212,2025-08-11
ORD000169,user0286,남,60대,인천,노트북,2,258263,516526,2025-08-03
ORD000170,user0195,남,60대,대구,충전기,5,322586,1612930,2025-09-29
ORD000171,user0154,남,30대,기타,충전기,3,461267,1383801,2025-11-19
ORD000172,user0183,여,30대,경기,모니터,7,314441,2201087,2025-02-27
ORD000173,user0497,여,30대,부산,스피커,5,220988,1104940,2025-08-06
ORD000174,user0238,여,60대,경기,스마트폰,2,93376,186752,2025-12-23
ORD000175,user0066,여,70대,기타,웹캠,7,370528,2593696,2025-07-30
ORD000176,user0149,여,50대,부산,CPU,4,16184,64736,2025-07-29
ORD000177,user0396,여,30대,대구,태블릿,1,295784,295784,2025-07-20
ORD000178,user0205,여,10대,대전,충전기,8,223926,1791408,2025-04-23
ORD000179,user0420,남,30대,기타,태블릿,6,334586,2007516,2025-04-24
ORD000180,user0086,남,70대,경기,웹캠,10,460078,4600780,2025-11-09
ORD000181,user0310,남,60대,서울,SSD,6,68746,412476,2025-07-14
ORD000182,user0361,여,30대,경기,스피커,2,410171,820342,2025-01-26
ORD000183,user0186,남,20대,광주,그래픽카드,9,111343,1002087,2025-04-28
ORD000184,user0083,여,30대,광주,모니터,5,421104,2105520,2025-10-11
ORD000185,user0007,남,70대,서울,SSD,4,493837,1975348,2025-09-27
ORD000186,user0204,여,10대,인천,이어폰,2,263930,527860,2025-06-04
ORD000187,user0324,남,10대,대전,프린터,1,121588,121588,2025-03-05
ORD000188,user0206,남,70대,대전,그래픽카드,7,344553,2411871,2025-02-13
ORD000189,user0259,여,10대,서울,프린터,2,39739,79478,2025-10-05
ORD000190,user0078,남,60대,광주,모니터,10,482807,4828070,2025-11-07
ORD000191,user0166,여,50대,서울,이어폰,5,412446,2062230,2025-05-21
ORD000192,user0052,여,60대,기타,태블릿,8,107255,858040,2025-05-30
ORD000193,user0114,여,50대,대전,충전기,7,49791,348537,2025-05-26
ORD000194,user0126,여,10대,기타,프린터,9,266600,2399400,2025-07-21
ORD000195,user0280,남,40대,부산,웹캠,6,400874,2405244,2025-01-13
ORD000196,user0119,여,30대,기타,웹캠,7,405333,2837331,2025-02-25
ORD000197,user0074,남,10대,인천,모니터,5,175291,876455,2025-09-08
ORD000198,user0043,남,40대,기타,USB,10,132055,1320550,2025-10-18
ORD000199,user0393,여,30대,광주,이어폰,4,31897,127588,2025-06-22
ORD000200,user0165,여,70대,서울,이어폰,3,20141,60423,2025-12-20
ORD000201,user0288,여,50대,기타,스마트폰,4,396857,1587428,2025-11-30
ORD000202,user0237,여,50대,경기,CPU,4,169735,678940,2025-02-23
ORD000203,user0040,여,20대,서울,마우스,7,367611,2573277,2025-09-24
ORD000204,user0102,여,70대,경기,노트북,2,88135,176270,2025-08-06
ORD000205,user0321,여,20대,광주,태블릿,8,90507,724056,2025-01-05
ORD000206,user0223,여,60대,대전,USB,5,62647,313235,2025-06-15
ORD000207,user0191,남,20대,대전,USB,10,467377,4673770,2025-12-17
ORD000208,user0315,여,50대,대전,충전기,4,421905,1687620,2025-08-25
ORD000209,user0170,남,20대,기타,노트북,4,491839,1967356,2025-06-12
ORD000210,user0077,여,10대,서울,이어폰,7,94965,664755,2025-12-26
ORD000211,user0356,남,50대,기타,스마트폰,4,105473,421892,2025-02-18
ORD000212,user0240,남,10대,대구,스피커,1,328665,328665,2025-10-14
ORD000213,user0322,남,20대,대전,이어폰,4,181857,727428,2025-08-07
ORD000214,user0157,여,50대,광주,CPU,10,383375,3833750,2025-05-11
ORD000215,user0329,남,10대,인천,키보드,9,284648,2561832,2025-04-21
ORD000216,user0135,남,20대,광주,스마트폰,5,94493,472465,2025-10-22
ORD000217,user0142,여,20대,인천,노트북,10,318076,3180760,2025-04-29
ORD000218,user0476,남,20대,인천,충전기,4,48887,195548,2025-01-01
ORD000219,user0459,남,20대,기타,태블릿,6,41783,250698,2025-12-07
ORD000220,user0155,남,20대,광주,태블릿,8,172489,1379912,2025-07-17
ORD000221,user0160,여,50대,경기,CPU,8,187117,1496936,2025-11-06
ORD000222,user0485,여,60대,인천,그래픽카드,4,88092,352368,2025-08-12
ORD000223,user0251,여,60대,경기,USB,9,232550,2092950,2025-08-11
ORD000224,user0013,여,70대,기타,SSD,6,94329,565974,2025-12-10
ORD000225,user0218,남,50대,부산,태블릿,6,382939,2297634,2025-07-11
ORD000226,user0383,남,20대,기타,스마트폰,3,490261,1470783,2025-09-27
ORD000227,user0301,여,30대,경기,CPU,4,3943,15772,2025-07-08
ORD000228,user0472,남,50대,대전,노트북,5,264608,1323040,2025-11-28
ORD000229,user0246,여,10대,대전,이어폰,5,337422,1687110,2025-11-17
ORD000230,user0422,남,70대,기타,웹캠,1,300987,300987,2025-11-20
ORD000231,user0089,여,60대,경기,노트북,8,258058,2064464,2025-07-09
ORD000232,user0458,남,60대,인천,그래픽카드,1,322346,322346,2025-03-09
ORD000233,user0428,남,10대,기타,스피커,2,220976,441952,2025-12-30
ORD000234,user0050,여,70대,부산,스피커,1,165750,165750,2025-11-11
ORD000235,user0429,여,60대,인천,CPU,1,175412,175412,2025-10-28
ORD000236,user0008,여,40대,서울,키보드,6,271711,1630266,2025-04-09
ORD000237,user0374,여,10대,인천,충전기,9,78339,705051,2025-01-23
ORD000238,user0102,여,20대,서울,이어폰,5,320044,1600220,2025-05-21
ORD000239,user0061,여,40대,경기,웹캠,9,184859,1663731,2025-08-26
ORD000240,user0471,남,20대,경기,마우스,2,61954,123908,2025-06-12
ORD000241,user0495,남,70대,인천,SSD,10,329531,3295310,2025-01-06
ORD000242,user0192,여,10대,부산,이어폰,4,335467,1341868,2025-12-15
ORD000243,user0387,남,30대,서울,태블릿,4,392857,1571428,2025-12-28
ORD000244,user0143,남,50대,대구,태블릿,5,94325,471625,2025-04-26
ORD000245,user0453,남,20대,대전,이어폰,4,144025,576100,2025-12-24
ORD000246,user0048,여,30대,대구,스마트폰,8,139697,1117576,2025-11-25
ORD000247,user0425,남,10대,광주,마우스,9,236758,2130822,2025-10-03
ORD000248,user0360,여,30대,대전,모니터,10,111447,1114470,2025-06-25
ORD000249,user0425,여,10대,부산,이어폰,9,290203,2611827,2025-04-22
ORD000250,user0017,남,50대,인천,충전기,8,137758,1102064,2025-03-13
ORD000251,user0166,여,50대,광주,스피커,8,308663,2469304,2025-10-29
ORD000252,user0360,남,60대,대구,그래픽카드,1,170015,170015,2025-01-05
ORD000253,user0244,여,30대,경기,마우스,3,221939,665817,2025-07-03
ORD000254,user0240,남,70대,서울,충전기,5,86325,431625,2025-11-12
ORD000255,user0295,여,60대,광주,충전기,8,312204,2497632,2025-05-05
ORD000256,user0192,여,40대,광주,이어폰,5,380255,1901275,2025-01-21
ORD000257,user0479,남,40대,광주,SSD,4,401122,1604488,2025-05-18
ORD000258,user0304,남,20대,인천,CPU,10,211108,2111080,2025-06-03
ORD000259,user0483,남,50대,인천,마우스,10,366759,3667590,2025-12-06
ORD000260,user0492,남,10대,대전,SSD,6,414437,2486622,2025-03-14
ORD000261,user0203,남,40대,서울,스피커,6,241497,1448982,2025-03-17
ORD000262,user0089,여,30대,경기,마우스,4,463922,1855688,2025-05-01
ORD000263,user0047,남,20대,대구,노트북,4,229877,919508,2025-09-02
ORD000264,user0052,여,50대,광주,프린터,3,181728,545184,2025-04-19
ORD000265,user0193,여,60대,부산,SSD,8,351453,2811624,2025-02-19
ORD000266,user0163,남,40대,대구,CPU,7,68372,478604,2025-05-25
ORD000267,user0202,남,30대,기타,스피커,7,313967,2197769,2025-10-28
ORD000268,user0454,남,70대,부산,스마트폰,1,117231,117231,2025-07-05
ORD000269,user0422,남,50대,광주,CPU,6,263907,1583442,2025-02-09
ORD000270,user0256,남,10대,부산,이어폰,4,73393,293572,2025-08-11
ORD000271,user0197,남,40대,인천,이어폰,2,179041,358082,2025-06-09
ORD000272,user0421,여,10대,대전,태블릿,7,355037,2485259,2025-04-02
ORD000273,user0350,남,40대,경기,스마트폰,3,209779,629337,2025-12-18
ORD000274,user0442,여,70대,서울,마우스,2,344864,689728,2025-06-13
ORD000275,user0260,여,60대,기타,노트북,3,302298,906894,2025-09-06
ORD000276,user0395,남,30대,광주,이어폰,7,222489,1557423,2025-11-21
ORD000277,user0414,여,50대,대구,SSD,2,317479,634958,2025-08-31
ORD000278,user0274,여,10대,인천,태블릿,6,443587,2661522,2025-09-30
ORD000279,user0346,남,20대,서울,스마트폰,7,457295,3201065,2025-12-29
ORD000280,user0102,여,40대,서울,충전기,10,136180,1361800,2025-05-25
ORD000281,user0445,여,40대,대구,노트북,1,64727,64727,2025-11-03
ORD000282,user0218,여,60대,대전,SSD,6,133291,799746,2025-01-13
ORD000283,user0092,여,30대,광주,노트북,9,141108,1269972,2025-08-17
ORD000284,user0326,남,50대,경기,스마트폰,6,157071,942426,2025-01-19
ORD000285,user0203,남,20대,경기,USB,9,388281,3494529,2025-02-18
ORD000286,user0075,여,40대,대전,스마트폰,3,382045,1146135,2025-08-23
ORD000287,user0471,여,10대,경기,스마트폰,10,128979,1289790,2025-07-10
ORD000288,user0312,남,40대,경기,스마트폰,1,77939,77939,2025-11-23
ORD000289,user0206,남,20대,대전,프린터,5,222527,1112635,2025-12-01
ORD000290,user0468,여,10대,부산,웹캠,2,439752,879504,2025-05-14
ORD000291,user0264,남,60대,서울,스마트폰,5,323741,1618705,2025-10-21
ORD000292,user0390,여,30대,인천,이어폰,8,113831,910648,2025-09-14
ORD000293,user0205,남,60대,대전,이어폰,1,317996,317996,2025-01-03
ORD000294,user0010,여,60대,인천,이어폰,7,109599,767193,2025-05-17
ORD000295,user0405,여,10대,부산,모니터,8,315090,2520720,2025-01-10
ORD000296,user0033,여,60대,기타,웹캠,6,116897,701382,2025-08-04
ORD000297,user0278,여,40대,서울,스마트폰,10,173360,1733600,2025-06-24
ORD000298,user0422,여,20대,기타,그래픽카드,6,182595,1095570,2025-09-13
ORD000299,user0358,남,60대,광주,이어폰,4,280047,1120188,2025-07-26
ORD000300,user0437,남,60대,기타,USB,1,347396,347396,2025-06-26
ORD000301,user0383,여,30대,대전,SSD,2,109816,219632,2025-06-11
ORD000302,user0240,남,20대,인천,웹캠,8,354632,2837056,2025-06-30
ORD000303,user0213,남,70대,대전,USB,10,227246,2272460,2025-09-09
ORD000304,user0472,남,40대,경기,키보드,4,197757,791028,2025-07-22
ORD000305,user0057,여,20대,인천,SSD,4,111784,447136,2025-07-25
ORD000306,user0181,남,40대,대전,스마트폰,9,215180,1936620,2025-07-05
ORD000307,user0453,여,50대,광주,모니터,2,349250,698500,2025-07-26
ORD000308,user0238,여,70대,기타,마우스,8,397795,3182360,2025-04-01
ORD000309,user0002,여,70대,기타,스피커,7,152208,1065456,2025-03-30
ORD000310,user0298,여,40대,광주,모니터,2,201987,403974,2025-11-22
ORD000311,user0115,남,50대,경기,웹캠,1,325469,325469,2025-10-20
ORD000312,user0012,여,50대,부산,마우스,7,496708,3476956,2025-10-19
ORD000313,user0047,여,10대,광주,USB,8,359803,2878424,2025-09-19
ORD000314,user0468,남,40대,대구,프린터,4,446806,1787224,2025-05-03
ORD000315,user0480,남,30대,인천,이어폰,3,248552,745656,2025-02-03
ORD000316,user0296,여,40대,부산,스피커,1,109531,109531,2025-11-05
ORD000317,user0408,남,40대,경기,SSD,8,127816,1022528,2025-11-06
ORD000318,user0472,남,20대,기타,프린터,6,458223,2749338,2025-02-05
ORD000319,user0017,여,70대,기타,그래픽카드,1,393486,393486,2025-07-17
ORD000320,user0214,여,60대,경기,프린터,2,411539,823078,2025-11-07
ORD000321,user0013,여,40대,서울,이어폰,9,375742,3381678,2025-07-23
ORD000322,user0205,여,40대,경기,키보드,1,191512,191512,2025-03-16
ORD000323,user0423,남,60대,인천,스마트폰,5,398379,1991895,2025-07-31
ORD000324,user0468,남,70대,기타,모니터,6,75422,452532,2025-05-16
ORD000325,user0329,남,40대,기타,SSD,2,174028,348056,2025-05-06
ORD000326,user0152,여,30대,기타,프린터,5,180538,902690,2025-05-13
ORD000327,user0305,남,70대,인천,마우스,10,145335,1453350,2025-09-25
ORD000328,user0114,여,50대,대구,프린터,5,14600,73000,2025-05-30
ORD000329,user0367,남,50대,대전,충전기,5,496343,2481715,2026-01-01
ORD000330,user0151,남,60대,인천,마우스,8,353991,2831928,2025-11-08
ORD000331,user0197,여,60대,부산,노트북,5,451440,2257200,2025-04-19
ORD000332,user0076,남,30대,대구,프린터,10,159836,1598360,2025-09-18
ORD000333,user0245,남,30대,인천,웹캠,9,213779,1924011,2025-09-14
ORD000334,user0192,여,70대,기타,스피커,6,275379,1652274,2025-03-28
ORD000335,user0090,여,40대,서울,스피커,9,253734,2283606,2025-02-03
ORD000336,user0159,남,20대,인천,이어폰,6,118873,713238,2025-11-08
ORD000337,user0101,여,40대,기타,웹캠,2,341785,683570,2025-11-23
ORD000338,user0383,남,60대,부산,스마트폰,1,441389,441389,2025-12-07
ORD000339,user0321,남,30대,경기,이어폰,1,209924,209924,2025-10-11
ORD000340,user0380,남,70대,서울,충전기,9,444865,4003785,2025-10-18
ORD000341,user0126,여,70대,인천,프린터,9,131008,1179072,2025-11-30
ORD000342,user0354,여,20대,서울,웹캠,4,120715,482860,2025-05-17
ORD000343,user0047,남,60대,경기,CPU,9,146477,1318293,2025-03-09
ORD000344,user0032,남,20대,부산,웹캠,9,159733,1437597,2025-10-25
ORD000345,user0051,남,30대,경기,모니터,8,244411,1955288,2025-09-02
ORD000346,user0043,여,20대,경기,USB,2,232681,465362,2025-10-29
ORD000347,user0250,여,50대,서울,웹캠,4,314678,1258712,2025-08-09
ORD000348,user0454,여,70대,부산,웹캠,2,378477,756954,2025-11-22
ORD000349,user0234,남,30대,광주,웹캠,10,397122,3971220,2025-05-19
ORD000350,user0091,여,50대,기타,USB,8,331892,2655136,2025-05-26
ORD000351,user0445,남,30대,대전,스피커,5,139516,697580,2025-10-15
ORD000352,user0321,여,10대,인천,충전기,9,162902,1466118,2025-01-04
ORD000353,user0499,여,40대,인천,마우스,6,469381,2816286,2025-02-03
ORD000354,user0156,남,70대,기타,스마트폰,7,353833,2476831,2025-11-23
ORD000355,user0094,남,70대,경기,SSD,9,432257,3890313,2025-04-29
ORD000356,user0257,여,30대,기타,키보드,4,162061,648244,2025-12-17
ORD000357,user0313,남,50대,인천,스마트폰,5,487304,2436520,2025-03-22
ORD000358,user0203,남,70대,인천,웹캠,4,402812,1611248,2025-12-06
ORD000359,user0490,여,60대,광주,SSD,3,171750,515250,2025-05-18
ORD000360,user0135,여,70대,대전,스마트폰,4,490078,1960312,2025-03-16
ORD000361,user0373,여,70대,대구,충전기,5,175966,879830,2025-06-07
ORD000362,user0202,여,10대,광주,노트북,7,296324,2074268,2025-07-29
ORD000363,user0413,남,40대,대전,노트북,6,339581,2037486,2025-12-27
ORD000364,user0339,여,30대,대구,노트북,4,110371,441484,2025-06-14
ORD000365,user0196,여,50대,부산,SSD,7,415669,2909683,2025-04-21
